pharmacy_name,address,suburb,postal_code,latitude,longitude,tel,link_url
A1 Discount Chemist,44 Georges River Rd,Croydon Park,2133,-33.894157,151.114628,0297987458,https://www.yellowpages.com.au/nsw/croydon-park/a1-discount-chemist-15391624-listing.html
AAA Fairfield Chemist,5/ 9 Nelson St,Fairfield,2165,-33.86913,150.95474,0297257250,https://www.yellowpages.com.au/nsw/fairfield/aaa-fairfield-chemist-12089995-listing.html
Abbotsford Family Pharmacy,310 Great North Rd,Wareemba,2046,-33.855851,151.130871,0297128611,https://www.yellowpages.com.au/nsw/wareemba/abbotsford-family-pharmacy-12869201-listing.html
ABC Pharmacy,984B Hunter St,Newcastle West,2302,-32.924045,151.756269,Phone number not found,https://www.yellowpages.com.au/nsw/newcastle-west/abc-pharmacy-14664647-listing.html
Aberdeen Pharmacy,1 Segenhoe St,Aberdeen,2336,-32.162472,150.889361,0265438022,https://www.yellowpages.com.au/nsw/aberdeen/aberdeen-pharmacy-14991522-listing.html
A.C.K. Pharmacy,86 Pacific Hwy,Roseville,2069,-33.78503,151.17709,0294121036,https://www.yellowpages.com.au/nsw/roseville/ack-pharmacy-12412301-listing.html
Ada & Flynn Pharmacy,64 Prince St,Grafton,2460,-29.690659,152.934484,0266422099,https://www.yellowpages.com.au/nsw/grafton/ada-flynn-pharmacy-12062520-listing.html
Adelong Pharmacy,109 Tumut St,Adelong,2729,-35.307094,148.0601,0269462555,https://www.yellowpages.com.au/nsw/adelong/adelong-pharmacy-15002212-listing.html
Adore Pharmacy,671 Darling St,Rozelle,2039,-33.863847,151.16971,0298107349,https://www.yellowpages.com.au/nsw/rozelle/adore-pharmacy-12172456-listing.html
After Hours Pharmacy Killarney Vale,112 Wyong Rd,Killarney Vale,2261,-33.366914,151.464028,0243323424,https://www.yellowpages.com.au/nsw/killarney-vale/after-hours-pharmacy-killarney-vale-15070501-listing.html
Agapy Pharmacy,Address not found,Airds,2560,Latitude not found,Longitude not found,0295446062,https://www.yellowpages.com.au/sup/agapy-pharmacy-11985326-listing.html
Airds Village Pharmacy,Riverside Dr,Airds,2560,-34.087652,150.832094,0246254303,https://www.yellowpages.com.au/nsw/airds/airds-village-pharmacy-12674991-listing.html
Airport Pharmacy,Sydney International Terminal,Mascot,2020,-33.928156,151.171274,0296691580,https://www.yellowpages.com.au/nsw/mascot/airport-pharmacy-12855622-listing.html
Akkari Soul Pattinson Chemist,19- 21 The Corso,Manly,2095,-33.79808,151.28585,0299773043,https://www.yellowpages.com.au/nsw/manly/akkari-soul-pattinson-chemist-12863490-listing.html
Albury City Pharmacy,Shop 12 Myer Centre David St,Albury,2640,-36.07515,146.921912,0260431444,https://www.yellowpages.com.au/nsw/albury/albury-city-pharmacy-15102085-listing.html
Albury Discount Drug Store,"Shop 14, Centro Albury, Kiewa St",Albury,2640,-36.084431,146.914957,0260213713,https://www.yellowpages.com.au/nsw/albury/albury-discount-drug-store-14050009-listing.html
Alfords Point Pharmacy,Shop 1/ 64 Coachwood Crst,Alfords Point,2234,-33.99334,151.02442,0295410700,https://www.yellowpages.com.au/nsw/alfords-point/alfords-point-pharmacy-12096269-listing.html
Allan Lee Chemist,14 Sydney Joseph Dr,Seven Hills,2147,-33.764,150.947286,0296241152,https://www.yellowpages.com.au/nsw/seven-hills/allan-lee-chemist-12289391-listing.html
Allawah Pharmacy,450 Railway Parade,Allawah,2218,-33.9704,151.115591,0295879178,https://www.yellowpages.com.au/nsw/allawah/allawah-pharmacy-13606993-listing.html
